,Both Sets,ack_present,ack_absent,Percent Present
Urology annals,738,84.0,654.0,0.11382113821138211
Health research policy and systems,737,447.0,290.0,0.6065128900949797
Nature structural & molecular biology,731,731.0,0.0,1.0
Journal of ethnobiology and ethnomedicine,729,414.0,315.0,0.5679012345679012
"Journal of clinical neurology (Seoul, Korea)",728,330.0,398.0,0.4532967032967033
Blood cancer journal,726,567.0,159.0,0.78099173553719
Middle East African journal of ophthalmology,726,125.0,601.0,0.1721763085399449
Revista brasileira de hematologia e hemoterapia,726,169.0,557.0,0.2327823691460055
International braz j urol : official journal of the Brazilian Society of Urology,724,119.0,605.0,0.1643646408839779
International journal of women's health,723,361.0,362.0,0.49930843706777317
"HPB surgery : a world journal of hepatic, pancreatic and biliary surgery",723,55.0,668.0,0.07607192254495158
Frontiers in chemistry,722,575.0,147.0,0.796398891966759
The Hospital and health review,722,0.0,722.0,0.0
The Journal of automatic chemistry,719,0.0,719.0,0.0
Molecular psychiatry,717,680.0,37.0,0.9483960948396095
Journal of minimal access surgery,714,82.0,632.0,0.11484593837535013
Molecular neurodegeneration,713,382.0,331.0,0.5357643758765779
EXCLI journal,711,0.0,711.0,0.0
Genomics data,711,578.0,133.0,0.8129395218002813
The Psychological clinic,710,0.0,710.0,0.0
JAAD case reports,708,77.0,631.0,0.10875706214689265
Heliyon,701,377.0,324.0,0.5378031383737518
Annals of laboratory medicine,698,396.0,302.0,0.5673352435530086
JMIR mHealth and uHealth,698,588.0,110.0,0.8424068767908309
Medical journal of the Islamic Republic of Iran,697,178.0,519.0,0.25538020086083213
"Pharmaceuticals (Basel, Switzerland)",696,509.0,187.0,0.7313218390804598
Cancer research and treatment : official journal of Korean Cancer Association,694,419.0,275.0,0.6037463976945245
Journal of geriatric cardiology : JGC,693,326.0,367.0,0.4704184704184704
ACS omega,692,671.0,21.0,0.9696531791907514
International journal of dentistry,692,336.0,356.0,0.48554913294797686
Aging cell,689,559.0,130.0,0.8113207547169812
Dementia & neuropsychologia,689,193.0,496.0,0.28011611030478956
Cancer imaging : the official publication of the International Cancer Imaging Society,686,170.0,516.0,0.2478134110787172
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",685,665.0,20.0,0.9708029197080292
Polish journal of radiology,685,47.0,638.0,0.06861313868613139
Preventive medicine reports,685,487.0,198.0,0.710948905109489
Frontiers in medicine,684,280.0,404.0,0.4093567251461988
Cardiovascular ultrasound,682,226.0,456.0,0.3313782991202346
Frontiers in integrative neuroscience,682,507.0,175.0,0.7434017595307918
Behavioural neurology,680,197.0,483.0,0.2897058823529412
Respiratory medicine case reports,674,151.0,523.0,0.22403560830860533
Case reports in ophthalmology,673,155.0,518.0,0.2303120356612184
Bulletin of the World Health Organization,671,279.0,392.0,0.4157973174366617
Annals of the rheumatic diseases,666,520.0,146.0,0.7807807807807807
Sports health,664,118.0,546.0,0.17771084337349397
PLoS currents,663,302.0,361.0,0.4555052790346908
Human vaccines & immunotherapeutics,661,167.0,494.0,0.2526475037821483
Central European journal of urology,660,63.0,597.0,0.09545454545454546
Annals of medical and health sciences research,659,221.0,438.0,0.3353566009104704
Molecular cytogenetics,659,343.0,316.0,0.5204855842185129
Iranian journal of medical sciences,657,358.0,299.0,0.5449010654490106
Urology case reports,657,116.0,541.0,0.1765601217656012
Journal of Indian Association of Pediatric Surgeons,652,46.0,606.0,0.0705521472392638
Journal of ovarian research,651,338.0,313.0,0.5192012288786483
The EMBO journal,649,603.0,46.0,0.9291217257318952
Journal of clinical medicine,649,418.0,231.0,0.6440677966101694
Journal of nanobiotechnology,649,402.0,247.0,0.6194144838212635
The Journal of international medical research,648,224.0,424.0,0.345679012345679
BMC medical ethics,648,412.0,236.0,0.6358024691358025
Sarcoma,646,226.0,420.0,0.3498452012383901
"Obesity (Silver Spring, Md.)",644,608.0,36.0,0.9440993788819876
Frontiers in veterinary science,644,410.0,234.0,0.6366459627329193
Globalization and health,642,353.0,289.0,0.5498442367601246
Clinical epigenetics,640,544.0,96.0,0.85
Ayu,638,138.0,500.0,0.21630094043887146
Molecular brain,633,371.0,262.0,0.5860979462875198
Journal of cytology,633,78.0,555.0,0.12322274881516587
Chinese journal of cancer,629,441.0,188.0,0.7011128775834659
Iranian endodontic journal,629,475.0,154.0,0.7551669316375199
CBE life sciences education,629,514.0,115.0,0.8171701112877583
Molecular therapy. Nucleic acids,625,592.0,33.0,0.9472
Journal of obesity,625,444.0,181.0,0.7104
Behavioral and brain functions : BBF,624,319.0,305.0,0.5112179487179487
Current neuropharmacology,624,502.0,122.0,0.8044871794871795
Experimental & molecular medicine,624,584.0,40.0,0.9358974358974359
BMB reports,623,589.0,34.0,0.9454253611556982
Indian journal of medical and paediatric oncology : official journal of Indian Society of Medical & Paediatric Oncology,622,95.0,527.0,0.1527331189710611
Proteome science,622,230.0,392.0,0.36977491961414793
Revista latino-americana de enfermagem,621,99.0,522.0,0.15942028985507245
The Journal of investigative dermatology,619,589.0,30.0,0.9515347334410339
Iranian journal of parasitology,619,598.0,21.0,0.9660743134087237
Brain : a journal of neurology,617,467.0,150.0,0.7568881685575365
International journal of integrated care,617,250.0,367.0,0.4051863857374392
Acta neuropathologica communications,616,475.0,141.0,0.7711038961038961
Scientific data,616,563.0,53.0,0.913961038961039
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,613,393.0,220.0,0.6411092985318108
Annals of thoracic medicine,609,136.0,473.0,0.2233169129720854
Biology direct,609,344.0,265.0,0.5648604269293924
EJNMMI research,608,359.0,249.0,0.5904605263157895
"Allergy, asthma & immunology research",608,386.0,222.0,0.6348684210526315
Journal of family & community medicine,607,217.0,390.0,0.357495881383855
Frontiers in bioengineering and biotechnology,605,414.0,191.0,0.684297520661157
Insights into imaging,604,247.0,357.0,0.40894039735099336
World journal of emergency surgery : WJES,600,194.0,406.0,0.3233333333333333
Plant methods,599,377.0,222.0,0.6293823038397329
Croatian medical journal,598,450.0,148.0,0.7525083612040134
BMC palliative care,597,409.0,188.0,0.6850921273031826
International journal of emergency medicine,596,260.0,336.0,0.436241610738255
Food science & nutrition,596,388.0,208.0,0.6510067114093959
Mediterranean journal of hematology and infectious diseases,595,157.0,438.0,0.2638655462184874
"Journal of psychological medicine and mental pathology (London, England : 1848)",594,0.0,594.0,0.0
NeuroImage,594,561.0,33.0,0.9444444444444444
Current genomics,593,457.0,136.0,0.7706576728499157
Cancer management and research,593,373.0,220.0,0.6290050590219224
Journal of orthopaedic case reports,593,22.0,571.0,0.03709949409780776
Open biology,592,440.0,152.0,0.7432432432432432
Annals of clinical microbiology and antimicrobials,592,354.0,238.0,0.597972972972973
Annals of pediatric cardiology,591,80.0,511.0,0.1353637901861252
BMC endocrine disorders,590,346.0,244.0,0.5864406779661017
Turkish journal of haematology : official journal of Turkish Society of Haematology,590,47.0,543.0,0.07966101694915254
3 Biotech,589,533.0,56.0,0.9049235993208828
Alzheimer's research & therapy,588,307.0,281.0,0.5221088435374149
Journal of cutaneous and aesthetic surgery,587,46.0,541.0,0.07836456558773425
Revista de saude publica,587,83.0,504.0,0.141396933560477
Journal of oncology,586,326.0,260.0,0.5563139931740614
Clinics in orthopedic surgery,584,138.0,446.0,0.2363013698630137
"Journal of natural science, biology, and medicine",583,134.0,449.0,0.22984562607204118
ACS central science,582,378.0,204.0,0.6494845360824743
"Cerebral cortex (New York, N.Y. : 1991)",581,552.0,29.0,0.9500860585197934
Global spine journal,581,149.0,432.0,0.25645438898450945
Annals of intensive care,580,366.0,214.0,0.6310344827586207
Toxicology reports,580,456.0,124.0,0.7862068965517242
"Einstein (Sao Paulo, Brazil)",579,106.0,473.0,0.18307426597582038
Case reports in oncological medicine,579,205.0,374.0,0.3540587219343696
Indian journal of palliative care,579,133.0,446.0,0.229706390328152
Jundishapur journal of microbiology,577,483.0,94.0,0.8370883882149047
Molecular metabolism,575,494.0,81.0,0.8591304347826086
Frontiers in zoology,572,308.0,264.0,0.5384615384615384
Case reports in otolaryngology,572,162.0,410.0,0.28321678321678323
Theoretical biology & medical modelling,572,251.0,321.0,0.4388111888111888
BMJ (Clinical research ed.),571,78.0,493.0,0.13660245183887915
Journal of education and health promotion,570,356.0,214.0,0.624561403508772
AoB PLANTS,569,508.0,61.0,0.8927943760984183
Case reports in cardiology,568,103.0,465.0,0.1813380281690141
Clinical epidemiology,568,418.0,150.0,0.7359154929577465
Oman journal of ophthalmology,567,82.0,485.0,0.14462081128747795
Insects,567,536.0,31.0,0.9453262786596119
ACG case reports journal,567,1.0,566.0,0.001763668430335097
Journal of analytical methods in chemistry,566,465.0,101.0,0.8215547703180212
"Journal of the Royal Society, Interface",563,450.0,113.0,0.7992895204262878
Advances in medical education and practice,562,243.0,319.0,0.43238434163701067
Bristol medico-chirurgical journal (1963),561,0.0,561.0,0.0
Diabetes & metabolism journal,559,253.0,306.0,0.4525939177101968
Clinical and experimental otorhinolaryngology,558,222.0,336.0,0.3978494623655914
Neurologia medico-chirurgica,558,216.0,342.0,0.3870967741935484
"Contemporary oncology (Poznan, Poland)",558,50.0,508.0,0.08960573476702509
Animals : an open access journal from MDPI,557,484.0,73.0,0.8689407540394973
BMC structural biology,557,336.0,221.0,0.6032315978456014
Case reports in pediatrics,555,157.0,398.0,0.2828828828828829
Genetics,555,518.0,37.0,0.9333333333333333
PPAR research,554,398.0,156.0,0.7184115523465704
Harm reduction journal,553,326.0,227.0,0.5895117540687161
mSphere,553,506.0,47.0,0.9150090415913201
International scholarly research notices,553,302.0,251.0,0.546112115732369
International journal of clinical pediatric dentistry,552,43.0,509.0,0.07789855072463768
The Journal of infectious diseases,552,357.0,195.0,0.6467391304347826
Diabetologia,551,513.0,38.0,0.9310344827586207
Nature methods,551,550.0,1.0,0.9981851179673321
Particle and fibre toxicology,551,293.0,258.0,0.5317604355716878
"Genomics, proteomics & bioinformatics",548,475.0,73.0,0.8667883211678832
Scientifica,548,326.0,222.0,0.5948905109489051
BMJ quality improvement reports,547,502.0,45.0,0.9177330895795247
The Biochemical journal,547,259.0,288.0,0.473491773308958
The open dentistry journal,545,468.0,77.0,0.8587155963302753
Molecules and cells,544,520.0,24.0,0.9558823529411765
Nature medicine,543,541.0,2.0,0.996316758747698
The journal of advanced prosthodontics,543,60.0,483.0,0.11049723756906077
Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,543,88.0,455.0,0.16206261510128914
Biochemistry and biophysics reports,543,481.0,62.0,0.8858195211786372
The international journal of neuropsychopharmacology,543,505.0,38.0,0.9300184162062615
Case reports in infectious diseases,542,159.0,383.0,0.2933579335793358
Journal of pharmacology & pharmacotherapeutics,541,135.0,406.0,0.24953789279112754
Cell communication and signaling : CCS,541,263.0,278.0,0.48613678373382624
PhytoKeys,541,514.0,27.0,0.9500924214417745
Materia socio-medica,539,121.0,418.0,0.22448979591836735
International journal of obesity (2005),539,520.0,19.0,0.9647495361781077
MicrobiologyOpen,537,507.0,30.0,0.9441340782122905
Brain sciences,537,424.0,113.0,0.7895716945996276
BMC biochemistry,537,308.0,229.0,0.5735567970204841
Journal of biomedical research,534,211.0,323.0,0.3951310861423221
Pediatric rheumatology online journal,534,278.0,256.0,0.5205992509363296
Emerging microbes & infections,533,454.0,79.0,0.851782363977486
"Journal of dentistry (Tehran, Iran)",532,248.0,284.0,0.46616541353383456
Annales de genetique et de selection animale,531,0.0,531.0,0.0
Communicative & integrative biology,531,238.0,293.0,0.448210922787194
Annals of medicine and surgery (2012),531,135.0,396.0,0.2542372881355932
Journal of International Society of Preventive & Community Dentistry,530,106.0,424.0,0.2
Journal of clinical research in pediatric endocrinology,529,61.0,468.0,0.11531190926275993
Case reports in urology,527,114.0,413.0,0.21631878557874762
Microbiome,527,434.0,93.0,0.8235294117647058
Case reports in dermatology,527,54.0,473.0,0.10246679316888045
Frontiers in cell and developmental biology,526,382.0,144.0,0.7262357414448669
Current biology : CB,525,510.0,15.0,0.9714285714285714
HeartRhythm case reports,524,93.0,431.0,0.17748091603053434
Obstetrics & gynecology science,524,114.0,410.0,0.21755725190839695
Analytical and bioanalytical chemistry,523,473.0,50.0,0.904397705544933
Biomolecules & therapeutics,522,484.0,38.0,0.9272030651340997
Annals of surgical treatment and research,521,156.0,365.0,0.29942418426103645
Journal of the International Society of Sports Nutrition,519,241.0,278.0,0.464354527938343
Journal of synchrotron radiation,517,487.0,30.0,0.941972920696325
European journal of psychotraumatology,517,188.0,329.0,0.36363636363636365
Parkinson's disease,517,372.0,145.0,0.7195357833655706
Pharmacognosy research,515,255.0,260.0,0.49514563106796117
Science and technology of advanced materials,514,362.0,152.0,0.7042801556420234
Infectious diseases of poverty,510,415.0,95.0,0.8137254901960784
Journal of clinical imaging science,510,76.0,434.0,0.14901960784313725
Nature chemical biology,510,509.0,1.0,0.9980392156862745
Cellular and molecular life sciences : CMLS,510,455.0,55.0,0.8921568627450981
Annals of clinical and translational neurology,509,439.0,70.0,0.862475442043222
The Korean journal of physiology & pharmacology : official journal of the Korean Physiological Society and the Korean Society of Pharmacology,509,457.0,52.0,0.8978388998035364
Journal of general internal medicine,509,437.0,72.0,0.8585461689587426
Open heart,508,178.0,330.0,0.35039370078740156
Case reports in neurological medicine,508,181.0,327.0,0.3562992125984252
Journal of community hospital internal medicine perspectives,507,100.0,407.0,0.19723865877712032
"Medical principles and practice : international journal of the Kuwait University, Health Science Centre",507,163.0,344.0,0.3214990138067061
Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,506,109.0,397.0,0.21541501976284586
Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques,505,90.0,415.0,0.1782178217821782
Journal of inequalities and applications,505,446.0,59.0,0.8831683168316832
Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale,505,85.0,420.0,0.16831683168316833
Journal of global infectious diseases,505,137.0,368.0,0.2712871287128713
Anesthesiology and pain medicine,504,317.0,187.0,0.628968253968254
Applications in plant sciences,502,22.0,480.0,0.043824701195219126
South Asian journal of cancer,502,70.0,432.0,0.1394422310756972
Journal of cheminformatics,502,245.0,257.0,0.48804780876494025
Food & nutrition research,500,328.0,172.0,0.656
European heart journal,500,268.0,232.0,0.536
Thoracic cancer,500,314.0,186.0,0.628
Postepy dermatologii i alergologii,499,158.0,341.0,0.3166332665330661
