,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
378,ACS_Appl_Mater_Interfaces/PMC5473018.nxml,0.0,"José
M. A. Hendrik",assistance;cell;cultures;assistance;microscopy,"Pierson
","We acknowledge José
M. A. Hendrik for assistance with cell cultures and Dr. Liesbeth Pierson
for assistance with confocal microscopy.",acknowledge
383,ACS_Appl_Mater_Interfaces/PMC5609120.nxml,0.0,Rob Verpaalen,authors;help;way;shape;memory;cycle,,"The authors would
like to thank Rob Verpaalen for his help in measuring one-way shape
memory cycle.",thank;measure
386,ACS_Appl_Mater_Interfaces/PMC5663390.nxml,0.0,Grant No,support;No;SEV-2013,the Severo Ochoa Centers of Excellence Program,"ICN2 received support from the Spanish MINECO through
the Severo Ochoa Centers of Excellence Program, under Grant No. SEV-2013-0295.",receive
394,ACS_Appl_Mater_Interfaces/PMC5740481.nxml,1.0,Jiayue Wang,thanks;discussions,MIT,"A.K.O. thanks Jiayue Wang (MIT) for
helpful discussions.",
396,ACS_Appl_Mater_Interfaces/PMC5799869.nxml,1.0,Anouk F. Scheers,Scheers;work;inkjet;polymer;coating,,"Anouk F. Scheers for her initial work on inkjet printing on polymer
coating.",print
397,ACS_Appl_Mater_Interfaces/PMC5799869.nxml,0.0,Michael G. Debije,authors;comments;manuscript,,"The authors also thank Michael G. Debije for his valuable
comments on the manuscript.",thank
400,ACS_Appl_Mater_Interfaces/PMC5864053.nxml,0.0,David Phillips Fellowship (BB,,,"David Phillips Fellowship (BB/L024551/1).
",
401,ACS_Appl_Mater_Interfaces/PMC5864053.nxml,0.0,"
Nigel W. Hodson",authors;facility;assistance;advice,the University of Manchester BioAFM,"The authors also thank Dr.
Nigel W. Hodson at the University of Manchester BioAFM facility for
technical assistance and advice.",thank
402,ACS_Appl_Mater_Interfaces/PMC5865079.nxml,0.0,Junjie Li,authors;help;TEM;measurements,TEM,"The authors are grateful to Dr. Junjie Li for
generous help in some TEM measurements.",
407,ACS_Appl_Mater_Interfaces/PMC5909180.nxml,0.0,Jeroen van Gerwen,authors;assistance;work;discussions,Alfredo,"The authors
would like to acknowledge Jeroen van Gerwen for
his invaluable technical assistance during this work and Alfredo Mameli
for fruitful discussions.",like;acknowledge
408,ACS_Appl_Mater_Interfaces/PMC5909180.nxml,1.0,Aileen O’Mahony,uniformity;measurements,"Oxford Instruments
","Aileen O’Mahony from Oxford Instruments
is acknowledged for carrying out the thickness uniformity measurements.
",acknowledge;carry
409,ACS_Appl_Mater_Interfaces/PMC5916463.nxml,0.0,Lorenzo Ferraro,authors;help,,"The authors are grateful to Lorenzo Ferraro for his technical help.
",
410,ACS_Appl_Mater_Interfaces/PMC5934727.nxml,0.0,Steven Moore,comments;contribution;manuscript;clarity;readability,,"We would like
to thank Dr. Steven Moore (University of Cambridge) for his valuable
comments and contribution in editing the manuscript to improve clarity
and readability.",thank;edit;improve
412,ACS_Appl_Mater_Interfaces/PMC5997384.nxml,0.0,Teodor Zaharia,authors;assistance,Arjen Kamp,"The authors would like to thank Arjen Kamp and Dr. Teodor Zaharia
for technical assistance.",like;thank
413,ACS_Appl_Mater_Interfaces/PMC5997384.nxml,0.0,Soheil Solhjoo,discussions,"
University of Groningen","A.R.C. acknowledges Soheil Solhjoo from
University of Groningen for useful discussions.",acknowledge
416,ACS_Appl_Mater_Interfaces/PMC5997383.nxml,0.0,Mehmet Sahin,authors;discussion;properties;QDs,"Abdullah
Gul University","The authors also thank Prof. Mehmet Sahin at Abdullah
Gul University for scientific discussion on the electronic properties
of QDs.",thank
423,ACS_Appl_Nano_Mater/PMC6083416.nxml,1.0,"
Helen Waller",assistance,,"We thank Dr.
Helen Waller for expert technical assistance.
",thank
424,ACS_Biomater_Sci_Eng/PMC4426347.nxml,1.0,Rachel Stern,contribution;integrity;degradation;studies,,"We thank
Rachel Stern for her contribution to sponge integrity and degradation
studies.",thank;sponge
425,ACS_Biomater_Sci_Eng/PMC4426347.nxml,1.0,"Chiara E. Ghezzi
",assistance;properties;silk;scaffolds,,"We thank Dr. Chiara E. Ghezzi
for her assistance in analyzing the mechanical properties of silk
scaffolds.",thank;analyze
427,ACS_Biomater_Sci_Eng/PMC4517957.nxml,0.0,Joe Beesley,groups;discussions,,"We thank
the D.N.W. and B.S. groups and Joe Beesley in particular
for useful discussions.",thank
428,ACS_Biomater_Sci_Eng/PMC4604486.nxml,0.0,Alexander R.,,,"We gratefully acknowledge
Professor Alexander R.",acknowledge
431,ACS_Biomater_Sci_Eng/PMC4426350.nxml,1.0,Christina Wege,team;lysine;mutant,"University of Stuttgart)
;TMV","Prof. Christina Wege and team (University of Stuttgart)
are
thanked for providing the TMV lysine mutant.",thank;provide
434,ACS_Biomater_Sci_Eng/PMC4603720.nxml,0.0,"
Christopher Wolfram",assistance;measurements,,"We thank Mr.
Christopher Wolfram for assistance with Raman measurements.",thank
435,ACS_Biomater_Sci_Eng/PMC5059754.nxml,1.0,Rachelle Palchesko Simko,assistance;testing,,"We thank Dr. Rachelle Palchesko Simko for technical
assistance
with uniaxial tensile testing.",thank
437,ACS_Biomater_Sci_Eng/PMC5558191.nxml,1.0,Carol-Anne Smith,support,,"We thank Carol-Anne Smith for technical
support.",thank
440,ACS_Biomater_Sci_Eng/PMC5686564.nxml,1.0,Anne Tuukkanen,authors;beamtime;assistance;beamline;data;collection,"DESY;Manfred
Roessle","The authors also thank DESY for SAXS beamtime and Manfred
Roessle and Anne Tuukkanen for assistance in using beamline X33 during
data collection.",thank
441,ACS_Biomater_Sci_Eng/PMC5727470.nxml,1.0,Monique Kersten,authors;assistance;experiment,"
CAPES Foundation;
Ministry of Education;Brasilia-DF;Grant
9424/2014-08;Martijn Martens;the Department
of Biomaterials","The authors would like to acknowledge
CAPES Foundation,
Ministry of Education of Brazil, Brasilia-DF 70040-020, Brazil (Grant
9424/2014-08) and Martijn Martens and Monique Kersten from the Department
of Biomaterials, Radboudumc for the assistance with this experiment.",like;acknowledge
445,ACS_Biomater_Sci_Eng/PMC5351555.nxml,1.0,Judy Poore,help;use;cryostat,,"We wish to thank
Ms. Judy Poore for the help with the use of Leica 3050S cryostat.
",wish;thank
446,ACS_Biomater_Sci_Eng/PMC5850091.nxml,0.0,Justin Cooper-White,authors;discussions;diffusion;proteins;hydrogel;matrices,,"Additionally,
the authors thank Prof. Justin Cooper-White for helpful discussions
related to diffusion of large secreted proteins out of hydrogel-based
synthetic matrices.",thank;relate;base
451,ACS_Biomater_Sci_Eng/PMC6039960.nxml,0.0,Everett Crisman,field;emission;scanning;electron;microscope;biomaterial,"R.I. Consortium for Nanoscience
& Nanotechnology","We would like to thank Professor Dr. Everett Crisman
for the Zeiss SIGMA VP field emission scanning electron microscope
we used to characterize our biomaterial from R.I. Consortium for Nanoscience
& Nanotechnology.",like;thank;characterize
461,ACS_Catal/PMC4613740.nxml,0.0,John Wilkie,authors;discussions,,"The authors thank Anthony
Kirby and John Wilkie for valuable discussions.",thank
462,ACS_Catal/PMC4327928.nxml,0.0,Roberto Orru,data;paper,,"and Dr. Roberto Orru for independently verifying
biophysical and catalytic data reported in this paper.",verify;report
463,ACS_Catal/PMC4749094.nxml,1.0,Letitia Yao,help;kinetics;experiments,NMR,"We thank Dr. Letitia Yao for
her help with NMR kinetics experiments.",thank
464,ACS_Catal/PMC4822188.nxml,0.0,Alan Nicholls,images;STEM;instrument,"the
University of Illinois—Chicago;the
JEOL JEM;AC;STEM","We also thank Alan Nicholls from the
University of Illinois—Chicago for acquiring images using the
JEOL JEM ARMS200CF AC-STEM instrument.",thank;acquire
465,ACS_Catal/PMC4831668.nxml,0.0,"José Luis García
Ruano",paper;occasion;retirement,,"This
paper is dedicated to José Luis García
Ruano on occasion of his retirement.",dedicate
467,ACS_Catal/PMC4902129.nxml,0.0,Peter Bramwell,measurements,TPR,"Peter Bramwell is acknowledged
for the TPR measurements.",acknowledge
471,ACS_Catal/PMC4954740.nxml,0.0,Jaap Louwen,authors;discussions;model;development;simulations,"Albemarle Catalysts Company
BV","The authors
thank Jaap Louwen (Albemarle Catalysts Company
BV) for his very valuable discussions on model development and simulations.
",thank
474,ACS_Catal/PMC4993522.nxml,0.0,David Phillips Fellow (BB,,"BBSRC;
Engineering and Physical Sciences Research Council;
Career Fellow","S.H.
was a BBSRC David Phillips Fellow (BB/H021523/1), and N.S.S. is an
Engineering and Physical Sciences Research Council Established (EPSRC)
Career Fellow (EP/J020192/1).",
476,ACS_Catal/PMC5057167.nxml,0.0,Severo Ochoa Excellence Accreditation,foundation;support,"ICIQ;the European Research
Council;MINECO;Cellex","We thank ICIQ, the European Research
Council (ERC-277883),
MINECO (CTQ2015-65496-R), Severo Ochoa Excellence Accreditation (2014-2018,
SEV-2013-0319), and the Cellex foundation for support.",thank
479,ACS_Catal/PMC5370080.nxml,1.0,Marie Sklowdowska,,"NWO;Curie Career Integration
","(NWO–CW) and Marie Sklowdowska Curie Career Integration
",
481,ACS_Catal/PMC5384480.nxml,0.0,Mark Smithers,measurements;analysis;samples;scanning;transmission;electron;microscopy;analysis,"ICP
","Furthermore, we would like to acknowledge Gerard
Kip for performing the XPS measurements, Mark Smithers and Dr. Rico
Keim for performing the analysis of the samples by scanning and transmission
electron microscopy, and Caroline Lievens for helping with the ICP
analysis.",like;acknowledge;perform;perform;help
483,ACS_Catal/PMC5460665.nxml,1.0,Marjan Versluijs-Helder,TGA;experiments;authors,TGA;Utrecht University,"For performing the TGA experiments,
the authors would like to thank Marjan Versluijs-Helder (Utrecht University,
UU).",perform;like;thank
484,ACS_Catal/PMC5460665.nxml,0.0,Pascal Wijten,assistance;analysis;coke,"the
GC/MS","Pascal Wijten (UU) is acknowledged for his assistance with the
GC/MS analysis of the extracted coke.",acknowledge;extract
488,ACS_Catal/PMC5557614.nxml,0.0,Javier Ruiz-Martinez,,Florian Meirer,"Javier Ruiz-Martinez and Florian Meirer also acknowledge
",acknowledge
489,ACS_Catal/PMC5557614.nxml,0.0,Pascal Wijten,assistance;analysis;hydrocarbons;discussions,"Utrecht University;GC-MS
;Abhishek Dutta Chowdhury
","Pascal Wijten
(Utrecht University, UU) is acknowledged for the assistance with GC-MS
analysis of the retained hydrocarbons, while Abhishek Dutta Chowdhury
(UU) is thanked for valuable discussions.",acknowledge;thank
490,ACS_Catal/PMC5600538.nxml,1.0,Martina Wiesbauer,authors;preparation;mutant,,"The authors are very
thankful to Martina Wiesbauer for the preparation of the C189M mutant.
",
491,ACS_Catal/PMC5600538.nxml,0.0,Peter Goettig,assistance;discussions,Stuart Bogatko;NWChem,"Moreover, we also appreciate the assistance of Stuart Bogatko using
NWChem and the fruitful discussions with Peter Goettig.",appreciate
496,ACS_Catal/PMC5617326.nxml,0.0,David Phillips Fellow,,,K. is a BBSRC David Phillips Fellow.,
497,ACS_Catal/PMC5617328.nxml,0.0,Daniël Verdoorn,synthesis, L5,"We acknowledge Daniël Verdoorn for the synthesis
of  L5 .",acknowledge
503,ACS_Catal/PMC5152669.nxml,0.0,Johnson Matthey,gift;metal;sources,,"Similarly, Johnson Matthey is acknowledged for a gift of metal
sources.",acknowledge
507,ACS_Catal/PMC5716443.nxml,0.0,Bart Zijlstra,authors;dr,,"The authors thank Mr. Bart Zijlstra and
dr.",thank
516,ACS_Catal/PMC5838639.nxml,0.0,Fahmi Himo,authors;advice;respect;biology;discussions;reaction;mechanism;thermodynamics,Georg Steinkellner,"The authors thank Georg Steinkellner for his advice
with respect to structural biology and Fahmi Himo for fruitful discussions
about the reaction mechanism and thermodynamics.",thank
519,ACS_Catal/PMC5939910.nxml,0.0,Paul Oyala,help;measurements;data;interpretation,"the Division of
Chemistry;Chemical Engineering;Caltech;EPR
","We are grateful to Dr. Paul Oyala from the Division of
Chemistry and Chemical Engineering of Caltech for help with the EPR
measurements and data interpretation.",
524,ACS_Catal/PMC5460664.nxml,0.0,Simon Lang,data;collection,University of Pennsylvania,"Dr. Simon Lang (University of Pennsylvania) is thanked
for additional data collection.",thank
528,ACS_Catal/PMC5548095.nxml,0.0,Charles W. Ross,assistance,"UPenn)
","We thank Dr. Charles W. Ross, III (UPenn)
for assistance in obtaining HRMS.",thank;obtain
530,ACS_Catal/PMC5937688.nxml,0.0,Colin Levy,protein;crystallization;data;collection;team;contributions,,"We thank Colin Levy for protein
crystallization and data collection
and the wider SYNBIOCHEM team for their contributions.",thank
532,ACS_Catal/PMC5997462.nxml,0.0,Andrey Goryachev,authors;graphite;reference;spectra,,"The authors are grateful to Andrey Goryachev
for providing
the highly oriented pyrolytic graphite reference used in C 1s spectra
fitting.",provide;orient
534,ACS_Catal/PMC6038097.nxml,0.0,Grant Nos,,SAF2016-76689-R;the Xunta de Galicia,"SAF2016-76689-R, the Xunta de Galicia (Grant Nos.
",
538,ACS_Catal/PMC6080863.nxml,1.0,Lynn Kamerlin,discussions;reading;manuscript,"Professors
Tobias Madl;Gunnar
","We thank Professors
Tobias Madl, Lynn Kamerlin, and Gunnar
Schröder for fruitful discussions and critical reading of the
manuscript.",thank
539,ACS_Catal/PMC6080863.nxml,0.0,Thomas Classen,DERAm,,"We thank
Dr. Thomas Classen for providing the plasmid encoding DERAm.",thank;provide;encode
548,ACS_Cent_Sci/PMC4626791.nxml,0.0,Peter Schultz,authors;use;pEB,,"The authors thank Dr. Peter Schultz for the use of the pEB-JYRS(couRS)
plasmid.",thank
550,ACS_Cent_Sci/PMC4665085.nxml,1.0,Ruth L. Kirschstein,fellowship,"NIH-NIGMS
","R.D.B. acknowledges NIH-NIGMS
Ruth L. Kirschstein postdoctoral fellowship.",acknowledge
551,ACS_Cent_Sci/PMC4665085.nxml,0.0,Dennis P. Curran,discussions,,"Helpful discussions with
Prof. Dennis P. Curran are gratefully acknowledged.",acknowledge
554,ACS_Cent_Sci/PMC4711398.nxml,0.0,Douglas Lauffenburger,facility;Grant;toxin;proteins;use,MIT;the Odyssey Infrared Imaging System,"We
thank the NERCE facility (Grant: U54 AI057159) for expressing some
toxin proteins and Prof. Douglas Lauffenburger (MIT) for the use of
the Odyssey Infrared Imaging System.",thank;express
558,ACS_Cent_Sci/PMC4731828.nxml,0.0,Josh Elias,advice;access;instrumentation,,"We also thank Dr. Josh Elias for advice and access to LC–-MS
instrumentation.",thank
570,ACS_Cent_Sci/PMC4850511.nxml,1.0,Solen Ekesan,discussions,,"We appreciate stimulating
discussions with Solen Ekesan and
Seyit Kale.",appreciate;stimulate
572,ACS_Cent_Sci/PMC4827551.nxml,0.0,Philip Kim,conversations,,We also thank Prof. Philip Kim for helpful conversations.,thank
580,ACS_Cent_Sci/PMC4827670.nxml,1.0,Rizia Bardhan,use;microscope;work,,"We thank
Rizia Bardhan for use of the Raman microscope critical
for this work.",thank
581,ACS_Cent_Sci/PMC4827673.nxml,1.0,Jung Ho Yu,support;help;TEM;characterization,TEM,"Z.W.S. acknowledges
the support of the A*STAR National Science Scholarship and the help
of Dr. Jung Ho Yu in TEM characterization.",acknowledge
582,ACS_Cent_Sci/PMC4827553.nxml,1.0,"Nicole
R. Campbell",authors;discussions,"
Olivia S. Ryder;Sara D. Forestieri;Professor Vicki H. Grassian;University of Iowa","The authors thank
Olivia S. Ryder, Sara D. Forestieri, Nicole
R. Campbell, and Professor Vicki H. Grassian, University of Iowa for
helpful discussions.",thank
585,ACS_Cent_Sci/PMC4827671.nxml,0.0,Douglas A. Keszler,situ;measurements,XRD,"We are grateful
to Professor Douglas A. Keszler for ex situ XRD measurements.",
590,ACS_Cent_Sci/PMC4827664.nxml,0.0,Joshua Dempster,discussion;computing;resources;performance;computing;cluster,"the Laboratory
Computing Resource Center;Argonne National Laboratory","B.Q. gratefully acknowledges the
discussion with Joshua Dempster and the computing resources provided
on Blues, a high-performance computing cluster operated by the Laboratory
Computing Resource Center at Argonne National Laboratory.",acknowledge;provide;operate
