tag,observations
ACKNOWLWEDGEMENTS,1
ACKNOWLEGDGMENTS,1
ACKNOWLEDGEMWNTS,1
ACKNOWLEDGETS,1
Acknowledgemennts,1
Prevention and incidence of asthma and mite allergy birth cohort study (PIAMA),1
Project Viva (VIVA),1
INfancia y Medio Ambiente [Environment and Childhood] Project (INMA),1
Children’s Health Study (CHS),1
British 1958 Birth Cohort (B58C),1
German Infant Study on the influence of Nutrition Intervention (GINI),1
Young Hearts studies,1
Healthy Lifestyle in Europe by Nutrition in Adolescence (HELENA),1
Generation R Study (GENERATIONR),1
CM-GOYA study (CM-GOYA),1
Copenhagen Study on Asthma in Childhood (COPSAC),1
Cardiovascular Risk in Young Finns Study (YF),1
Helsinki Birth Cohort Study (HBCS),1
Essen Obesity Study (ESSEN),1
Children’s Hospital of Philadelphia (CHOP),1
Western Australian Pregnancy Cohort study (RAINE),1
Lifestyle – Immune System – Allergy Study and German Infant Study on the influence of Nutrition Intervention (LISA+GINI),1
French Young study (FRENCH YOUNG),1
FURTHER READING,1
Financial disclosure and products,1
Authors and Affiliations,1
Publication of clinical data sets,1
Conflicts of Interest and Sources of Funding,1
Statement of Authorship,1
Conflicts of Interest statement,1
Author contibutions,1
Additional declarations,1
Financial support/interests,1
Supporting information available,1
ACKNOWEDGMENTS,1
Authors’ contribuitions,1
Availiability of data and materials,1
Availablity of data and meterials,1
Novelty & impact statements,1
Ethical approval and and consent to participate,1
Ethics approval and consent to participate,1
Financial Relationships,1
Disclosure and acknowledgements,1
The JPHC Study Group,1
FUNDING SOURCES,1
Members of China Kadoorie Biobank collaborative group,1
The Japan Collaborative Cohort Study Group,1
The JPHC FFQ Validation Study Group,1
Conduct of the study,1
NIPPON DATA80/90 Research Group,1
The KAREN Study Group,1
Informed,1
Purpose:,1
Supplemental Data,1
Statement of consent for publication,1
Ethical Guidelines,1
Conception and design of work:,1
The place that study was performed,1
EHF committee,1
AbbVie disclosures,1
Ethics committees and institutional review boards,1
CONFLICTS OF INTEREST/FINANCIAL DISCLOSURE,1
CONFLICT OF INTEREST/FINANCIAL DISCLOSURES,1
CONFLICT Of INTERESTS/FINANCIAL DISCLOSURES,1
Acknowledgements and conflict of interest,1
Acknowledgment of previous submission and peer review,1
ETHICAL REVIEW COMMITTEE STATEMENT,1
CONFLICT OF INTERESTS STATEMENT,1
Article description,1
List of institutions,1
Support/grants,1
COMOESTAS Consortium,1
Members of the study group (in order of the number of included patients),1
Acquisition of data:,1
Source of support/fund,1
﻿Authors' contributions,1
Ethic Statements,1
Availability of dGCR,1
Human Studies and Informed Consent Statement,1
Disclosure of Conflict of Interest,1
Additional Contributors,1
Acknowledgements and Conflict of Interest,1
"ACKNOWLEDGEMENTS, DISCLAIMER AND DEDICATION",1
Acknowledgement of Financial and/or Other Support,1
Potential Financial Conflicts of Interest,1
Statement of Author Contribution,1
Data analysis and interpretation:,1
Ethical code,1
"Copenhagen, Denmark: Marianne Skov, Christine Rønne Hansen, Thomas Kongstad, Kent Green, Kim G. Nielsen, Niels Høiby, Helle Krogh Johansen, Lena Mared, Tania Pressler, Terese L Katzenstein, Tavs Qvist.",1
Funding Sources and Disclosure,1
Ethical approval of studies,1
Competin interest,1
Source(s) of funding for all authors,1
Acknowledgeable,1
Paper Funding,1
Contributing Author Declaration,1
Funding Source(s),1
Ethical approval and Patient Consent,1
Ethics Committee approval and Patient Consent,1
Authors and Contributors,1
Institutional review board statement,1
Email addresses,1
Roles of the Authors,1
Authorship and contributors,1
Author Details,1
The steering committee of the iPOWER study,1
Presentation at Meetings,1
Role of the Sponsors,1
Grant/Funding support,1
Ethical assurance,1
Author agreement and consent,1
The author contributions were as follows:,1
Originality of the work and presentation of study,1
Acknowledgments and funding information,1
The LEAK study group,1
Institutional Review Board Statement,1
Expert group 'Infection' of swissorthopaedics,1
Financial disclosure and COI statements,1
Classification,1
Authors’ infomation,1
Availability of Supporting Data,1
"Aarhus, Denmark: Hanne Vebert Olesen, Peter Oluf Schiøtz, Søren Jensen-Fangel, Jørgen Eskild Petersen, Mikala Wang.",1
Disclosure of Conflicts of Interests,1
"Uppsala, Sweden: Mary Kämpe, Annika Hollsing, Terezia Pincikova.",1
"Lund, Sweden: Helga Elidottir, Lennart Hansson, Erik Sturegård, Ulrika Lindberg.",1
"Stockholm, Sweden: Lena Hjelte, Ferenc Karpati, Jelena Krjukova, Isabelle de Monesttrol.",1
"Gothenburg, Sweden: Anders Lindblad, Petrea Ericsson, Marita Gilljam, Bodil Jönsson, Karsten Kötz.",1
"Bergen, Norway: Birger N. Lærum.",1
"Oslo, Norway: Pål Leyell Finstad, Egil Bakkeheim, Bjørn Skrede, Olav-Trond Storrøsten, Nils-Olav Hermansen.",1
Members of the Scandinavian Cystic Fibrosis Study Consortium:,1
ACKNOWLEDGEMENTS AND/OR DISCLOSURE OF INTEREST,1
Disclosue,1
Conflict of Interests/Disclosure,1
Full financial disclosure for the previous 12 months,1
Conflicts of Interest and Funding Sources,1
Conflicts of interest and funding sources,1
Other investigators participating in this study,1
Consent for study participation,1
Developed software,1
Author informations,1
Additional data files,1
PCR amplification and Illumina sequencing,1
Faecal sample collection and extraction of genomic DNA,1
Subjects,1
Agreement for submission,1
Guarantor for the article,1
Clinical Relevance,1
Human Subjects/Informed Consent,1
Financial Support/Sources of Funding,1
Human Subjects/Informed Consent Statement,1
Human subjects/informed consent statement,1
Implication for health policy/practice/research/medical education,1
IRB Approval,1
Article information,1
Medical science ethics review,1
Reviewer exclusion,1
The Hellenic EFOS Study Group,1
Compliance of ethical standards,1
Copyrighted material/consent forms,1
"Ethical 
standards",1
Conflict on interests,1
Ethical Board Review statement,1
Author’s declaration,1
Acknowledgment/Funding,1
Acknowledgement/funding statement,1
Acknowledgement of funding sources,1
License agreement,1
Location statement,1
ACKNOWLEDGMENTS AND DISCLAIMERS,1
Financial support/Disclosure,1
ACKNOWLEDGEMENT-,1
Danksagung Acknowledgement,1
CONCLUSIONS,1
Financial Interest in This Study,1
Grant support/proprietary interest,1
IRB,1
Financial support/proprietary interests,1
Financial support/Proprietary interests,1
Relevant Disclosure,1
Past presentation,1
Financial conflicts,1
End note,1
Possible conflict of interest,1
Disclosure of Benefit,1
Confirmation of original material,1
The role of funding sources,1
ACKNOWLEDGMENTS AND CONFLICTS OF INTEREST,1
Funding source/sponsor,1
Previous communications,1
Original Publication,1
DoD Disclaimer,1
Source of fundings,1
Sponsor/funding,1
ACKNOWLEDGEMNT,1
Acknowledgments/Disclaimers,1
Disclosure of Any Financial Support for the Research,1
ETHICAL STATEMENTS,1
Grant acknowledgements,1
Synonymous Names (Gene Symbol: Common Name),1
4. Acknowledgment,1
ACKNOWLWDGMENTS,1
Financial or personal relationships with other people or organizations,1
Sources of supports:,1
Animal Rights Statement,1
Informed Consent Statement,1
Description of this article,1
The source(s) of financial support,1
Data cited from published annual reports,1
ISAUM-Br Collaborative Group,1
Replication data,1
Acknowledement,1
Ethic Approval,1
Acknowledgments/ethics approval,1
Published disclosure,1
Meeting Presentation.,1
Statement about conformity with author information,1
The Hopkinton Conference Working Group on Workplace Disability Prevention,1
Availability or data and materials,1
D:A:D working group experts,1
Human or Animal Rights,1
7- ACKNOWLEDGMENT:,1
About consent,1
CONFLICT Of INTEREST,1
AKNOWLEGEMENTS,1
ACKNOWLEDGMENTS & DISCLOSURE,1
Members of the Enteroviruses Complications Working Group,1
Writing Committee,1
The Korean RVO Study Group Members,1
ACKNOWEDGEMENT,1
ACKNOWLEDGMENTS/DECLARATIONS,1
Meeting presentation disclosure,1
External endpoint reviewers,1
Member of the D:A:D Oversight Committee,1
Funding acknowledgement statement,1
Statisticians,1
Cohort coordinators and data managers,1
D:A:D Steering Committee,1
D:A:D Participating Cohorts,1
Acknowledgements D:A:D Study group,1
Acknowledgements and fundings,1
Authors’ Financial Disclosures (2008–2012),1
Disclose funding received for this work,1
STRIVE Investigators:,1
Patient consent statement,1
Study sponsorship and funding,1
Conflict of interest and sources of funding,1
Copyright protection,1
Conflict disclosure,1
Grant support/disclosure,1
Authors’ Roles,1
Permission,1
Authors' Contributin,1
Author Discosure,1
The Indian Migration Study Group Comprises,1
Ethical Issues,1
ACKNOWLEDGEMENTS INCLUDING SOURCES OF SUPPORT,1
Sources of Financial and Material Support,1
Disclosures/Consent,1
Disclosure from Dr. Tomlin,1
CIHR Team in the Epidemiology and Impact of Comorbidity on Multiple Sclerosis,1
"Studies involving human participants, human data, or human tissue",1
Significance statement,1
Corresponding author statement,1
Consent to Participate,1
Chemicals,1
Disclosure of all authors and co-authors,1
Research Funders,1
Source of funds,1
Full financial disclosures of all authors,1
Statement of disclosure,1
Financial disclosures for previous 12 months,1
Northern UK NF1 Research Network,1
Consensus Conference Group,1
ACKNOLEDGMENT,1
"Human Participants and/or Animals, and Informed consent",1
Ethics approval and statement,1
Ethics and others,1
Availability of data and additional materials section,1
Financial disclosure and conflicts of interest,1
Divulgations d’ordre financier et de conflits d’intérêts,1
Acknowledgent,1
Poster Session,1
Acknowlegdgments,1
Associated Content,1
Declaration of competing financial interests,1
The Members of The Hokkaido Study on Environment and Children’s Health,1
Data source,1
Acknowledgements and Funding Source,1
Availability of data and supporting material sections,1
The SAPALDIA team,1
Current SAPALDIA Team,1
Data attribution and disclaimers,1
Supporting materials,1
Public Lecture,1
LS2 Workshop “Meet the Experts”,1
Further to the Symposium,1
Financial and competing interests disclosure,1
Author contributions and acknowledgements,1
Million Women Study co-ordinating centre staff,1
Million Women Study advisory committee,1
Sequence deposition,1
Authors’ contribution:,1
‘Authors’ contributions,1
About the Artist,1
"From How Men Pray, copyright 2005 by Philip F. Deaver.",1
ACKNOLEDGEMENT,1
Funding/acknowledgment,1
Acknowledgment—Lifetime Achievement Award presentation,1
Statement of declaration,1
Japan,1
Availability of the data and accessions numbers,1
Acknowledgments and Conflict of Interest,1
Taiwan,1
Contributions of Authors,1
Patient concent,1
Statement of financial support,1
Specific contributions of authors and approval of text,1
Financial support/conflicts of interest,1
Abbreviation,1
Ethical conduct of research,1
Ethnical approval,1
DISCLOSURE AND ACKNOWLEDGEMENTS,1
Contributions of authors statement,1
Description of authors’ roles,1
Contributions of author’s statement,1
Authorship contribution statement,1
Contribution of authors statement,1
Conflicts of interest disclosure,1
Statement and acknowledgment,1
Ethical approval of this study,1
Study centers and investigators,1
Dutch Peritonitis Study Group,1
Implications of all the available evidence,1
Added value of this study,1
Evidence before this study,1
Research in context,1
Relationship with Industry,1
Compliance with Ethics requirements,1
GROUP investigators,1
Attribution/ Acknowledgement,1
Ackmowledgement,1
AcknowledgeMENT,1
Thailand,1
Singapore,1
Disclosures/conflict of interests,1
Ethical background,1
Funding and Conflict of interests,1
Acknowledgments and contributions:,1
Funding declaration and acknowledgment,1
Funding declaration and acknowledgments,1
Acknowledgment and funding declaration,1
Acknowledgements and funding declaration,1
Sponsor’s role,1
Conflict of Interest and Funding,1
Acknowledgments/Conflicts of interest,1
Disclosures and Conflicts of Interest,1
Conflict of Interest Disclosure Statement,1
Additional Contributions,1
Statement of contributions,1
ACKNOWLEDGEMENTS/DECLARATION OF INTERESTS,1
Authors’ conflict of interests,1
Funding supports,1
Consent to study,1
Consent for participation and publication,1
Acknowledgementss,1
DISCLOSURE OF FUNDING,1
Publication ethics,1
Ethics approval and consent of participant,1
"Ethics approval and consent to participate, and consent for publication",1
Funding acknowledgment statement,1
Submission declaration and previous presentation,1
Experimental power,1
Declaimer,1
GRANTS,1
Acknowledgments and declaration of competing interests,1
Contributions and Conflict of interest Authors’ statement,1
Philippines,1
The CATI Nuclear Medicine network includes as follows:,1
Malaysia,1
South Korea,1
Indonesia,1
India,1
Hong Kong,1
China,1
ETIFIC team hospitals (researchers),1
Sponsor/coordinator team,1
Funding/financial support,1
Pending issues,1
Ethical approval for research involving human participants,1
Compliance with Ethical standards and disclosure,1
New knowledge gained,1
2.6 Acknowledgement,1
"Conflict
of interest",1
4.7 Acknowledgements,1
AcknowLEDGEMENT,1
Acknowledgements and Disclaimers,1
Potential Conflict of Interest,1
Acknowledgments & Funding,1
Table S4,1
Table S3,1
Table S2,1
Acknowledgments and Role of the Funding Source,1
"Medical writing, editorial, and other assistance",1
Conflict of interest disclosure statements,1
Authors and contributors,1
Author participation,1
IAH-ACS study group,1
Declaration of original work,1
Responsabilité éditoriale,1
Conflict interest,1
What is Current Knowledge,1
Contribution to the authorship,1
OPT collaborative group,1
Adherence to ethical standards,1
Roles,1
Required statement by the national cancer data base,1
Authors’ disclaimers,1
"Ethics approval, consent and permissions",1
Institutional approval for animal experimentation,1
"Financial disclosure, Grant support",1
AKCNOWLEDGEMENTS,1
Financial conflict of interest,1
"Conflict of interest statement, funding and role of funding source",1
Statement about Conformity with author information,1
Grant Supports,1
Ethical Board Approval,1
Trial registration information,1
Currency exchange,1
"The French ESTHER Network (as of December 30th, 2014)",1
Source of funding for each author,1
Additional Global Nutrition Epidemiologic Transition Initiative (GNET) investigators,1
5 Acknowledgements,1
6. Aknowledgement,1
Founding & Acknowledgements,1
Acnowledgment,1
Conflicts of interests and funding,1
Paper Context,1
Ethics and consent process,1
What is New Here,1
Consent on publication,1
Conflicts of Interest Disclosure,1
the BENCH-D Study Group,1
Databases / web-resources,1
Author's note,1
Compliance with ethical standards and Conflict of interest,1
Compliance with ethical requirements statement,1
Acknowledgemnts:,1
Funding and Declaration of Interests,1
Acknowledgement/source of funding,1
The EQUIPT study group,1
"Human participants, human data or human tissue",1
Road Traffic Injuries Research Network’s Group,1
Name of the submitted study,1
Clinical trials registry site and number,1
Intellectual property and condition of use,1
Language,1
Acknowledgments/financial support,1
Participating clinicians and centres,1
Remark,1
Sources and Role of funding,1
Sponsor details,1
Annex 1: CONOCES Investigators Group,1
Privacy statement,1
Sources of funding for each author’s post,1
Access to questionnaires,1
Aknowledgements and Disclaimers,1
Human participants protections,1
Acknowledgement and Disclaimer,1
Importance of this manuscript,1
Grant Supporter,1
Funding bodies,1
Authors of this manuscript,1
Conflict of Interes,1
9. Acknowledgement,1
Disclosures and ethics,1
Author contributations,1
"cDNA sequences of Apis
Vg and Drosophila
CG31150 in the transgenic constructs.",1
PIAT working group,1
Availability of data of supporting data,1
ACKNOWLEDGEMTNS,1
ACKNOWLEDFGEMENTS,1
Ac knowledgement,1
ACKNOWLWDGEMENT,1
Availability of data and materials,1
UAE University Animal Research Ethics Application,1
Conflict-of-interest disclosure,1
Perspective,1
LITERATURE CITED,1
Financial Support Statement,1
"ATHENA National Observational Cohort, The Netherlands",1
Rakai Health Sciences Programme,1
Swiss HIV Cohort Study,1
9 Acknowledgment,1
Perspectives – a focus on the contribution of women,1
Up close and personal,1
Publishers’ Note,1
Commentary: “Spinal Cord Compression Secondary to Intrathecal Catheter-Induced Granuloma: A Report of Four Cases “,1
Coflict of Interests,1
Remaining Challenges,1
Data Bases,1
Authors' Contibution,1
Final Considerations,1
Acknowledgements and declaration,1
PRODE,1
Disclosure declaration,1
Auther Contributions,1
Members of the PGen study team,1
Authors’ contribution’s,1
List of relevant urls,1
Additional MuTHER Consortia Members,1
Twitter and blog,1
Source code,1
Declaration of conflicts of interest,1
Animal ethics statement,1
ACKOWLDEMENTS,1
PSI collaborators,1
Conference Presentation,1
Statement of Originality,1
Search Strategy and Selection Criteria,1
Abbreviations Used,1
5,1
Acknoweldgments,1
Authors’information,1
Acknowledgmets,1
DOD Author Disclaimer,1
NIH Author Disclaimer,1
4D-EEG consortium,1
COBRIT investigators,1
ADNI acknowledgments,1
Patient recruitment,1
Opportunities to advance our understanding of the human brain—from cells to society,1
Genome-wide association study of schizophrenia,1
Whole genome-wide association study of bipolar disorder,1
5 Acknowledgments,1
Patients,1
Participants,1
Composition of the DARWIN-T2D Database,1
Associated content,1
Research involving humans or animals,1
Additional documentation,1
Funding source(s),1
Financial and material support,1
Ethical standards statements,1
Compering interests,1
Authors’ information and contributions,1
Sources of funding for the research,1
Ethical,1
Authors’ funding source,1
Diclosure,1
Disclaimer and acknowledgments,1
13. Acknowledgments,1
List disclosures of all authors,1
Ethical Considerations,1
Grant/Financial Support,1
Grant/financial support,1
Financial disclosures of all authors,1
Conflict of Interest Notification,1
Conflict of Interest (COI) Statement,1
Acknowledgements and Funding Information,1
Acknowledgements/Funding sources,1
Skin Working Group,1
Cardiac Tissue Working Group:,1
Bioburden Steering Committee Membership List:,1
Musculoskeletal Tissue Working Group,1
Declaration of Interestss,1
Declaration of interest and Funding,1
Acknowledgement for publication,1
Conflict ofInterests,1
Full name of ethical committee provided,1
The Pneumonia Methods Working Group.,1
"University of Pittsburgh, Pittsburgh, PA, USA",1
"University of Florida, Gainesville, Fl, USA",1
"Tufts University, Boston, MA, USA",1
"Stanford University, Palo Alto, CA, USA",1
"Pennington Biomedical Research Center, Baton Rouge, LA, USA",1
"Northwestern University, Chicago, IL, USA",1
Field centers,1
"National Institutes of Health, Bethesda, MD, USA",1
"Data Management, Analysis and Quality Control Center, Wake Forest University, Winston-Salem, NC, USA",1
"Administrative Coordinating Center, University of Florida, Gainesville, FL, USA",1
Research investigators for the LIFE Study,1
Ethical approval statement.,1
Supplement Sponsorship.,1
Authors' contributions.,1
Impact statement,1
Principal Investigator,1
ACKNOLWDEGMENTS,1
Microarray data accession number,1
Author summary,1
Reviewer access link,1
High-throughput sequencing accession number,1
Members of the European Network of Human Congenital Imprinting Disorders,1
PBC Epigenetic Study Group,1
The authors have nothing to disclose,1
Contributors’ statements,1
Declaration of funding/acknowledgments,1
Conflict of interest statements/financial disclosure statement,1
Previous publication,1
Disclosure/statement of interest,1
Statements of Human and Animal Rights and Informed Consent,1
Auhtor Contributions,1
Ethics approval and consent to participate,1
Author contributions and consent for publication,1
Significance,1
Prior Publication,1
Reference to prior publication of the study in abstract form,1
Nutrition Co-ordinating Centre,1
Retinopathy Grading Centre,1
Central laboratories,1
Co-ordinating centre,1
Steering committee members,1
Reviewing Assistance,1
Use of plants,1
Contribution of each author,1
Discussion,1
Ethics approval and consent to participate and Consent for publication,1
Ethical statement and consent to participate,1
Funding/support and role of the sponsor,1
FUNDING SUPPORT,1
Acknowledgements And Funding,1
Individual personal data,1
Studies involving human tissue and animals,1
Authors’ sources of funding,1
Sponsoring,1
ADQI 15 Consensus group contributors,1
ADQI 15 Consensus Meeting Contributors,1
Members of the ADQI 15 Workgroup,1
ADQI 15 contributors,1
ADQI 15th Consensus Meeting Contributors,1
Hyponatremia Working Group,1
Prologue study investigators,1
Conflict of Interest/Disclosure Information,1
Current authors’ information,1
Key Features,1
Author contribution:,1
Author’ contributions:,1
Author’s contibutions,1
Declaration Of Interests,1
Disclosure Policy,1
Conflict of Intersets,1
Parents Consent,1
Fthical Approval,1
Conflict of Intererts,1
Explanation of Significance,1
Clinical Quiz,1
Conflict of Interesets,1
Financial Support and Conflicts of Interest,1
Conflicte of Interests,1
Source of Fundings,1
Learning Objectives,1
Acknowledgements/Financial Support,1
Study limitations,1
Statement of Human Right,1
RESEARCH INVOLVING HUMAN AND ANIMAL STUDIES,1
Human Studies,1
Conflict of Intertest,1
Research Involving Human and Animal Studies,1
Human Subjects,1
Statement of Animal Studies,1
Statement of Human Studies,1
Research Involving Human Participants,1
"Clinical Events Committee (Reviewers), Duke Clinical Research Institute, Durham, NC USA",1
"Wake Forest University, Winston-Salem, NC, USA",1
"Yale University, New Haven, CT, USA",1
"Cognition Coordinating Center, Wake Forest University, Winston-Salem, NC, USA",1
6. ACKNOWLEDGEMENTS,1
Acknowledgemets,1
Conflits d'intérêt,1
Other contributors/acknowledgments,1
Declaration of source of funding,1
Compliance wit Ethics Guidelines,1
References and recommended reading,1
11. ACKNOWLEDGMENTS,1
8. ACKNOWLEDGMENTS,1
7. ACKNOWLEDGMENT,1
3. ACKNOWLEDGMENT,1
Acknowledgements and funding reports,1
Source of funding:,1
Name of the Guarantor,1
Potential competing interests,1
Documentation,1
2. ACKNOWLEDGEMENT,1
8. ACKNOWLEDGEMENT,1
Drafting Committee,1
Acknowledgment The author thanks to Marjeta Šentjurc and Čedomir Radenović for their invaluable help in preparing this manuscript.,1
Acknowledgment The authors thank Dr Sheryl Torr-Brown for excellent editing of the article and Professor Roland Pochet for helpful discussions.,1
Institutional Review Board,1
Summary Statements,1
Sources of direct financial support,1
Authors´ contribution,1
E-poster presentation,1
Supporting and partner organizations,1
Institution where the work was performed,1
The Cava Trem Study Group,1
Author's statement,1
"Acknowledgements. We would like to thank the HIV multidisciplinary care
team at CEASC-UNIFENAS for their contribution in patient recruitment.",1
"Electrocardiogram Reading Center, University of Florida, Gainesville, FL, USA",1
ALSPAC.,1
SPIKE Trial Site Investigators (Listed in Alphabetical Order),1
SPIKE Trial Site Investigators,1
List of investigators/institutions,1
Data accessibility statement,1
ACKNOWLDEGMENTS,1
Funding and Duality of Interest.,1
Duality of Interest.,1
Editors' note,1
Article Information.,1
Raine.,1
GENDAI.,1
French children.,1
EYHS.,1
SLI Consortium,1
Grant support acknowledgement,1
Disclousres,1
Medical Writing and/or Other Assistance,1
Medical writing and/or editorial assistance,1
Medical Writing and Other Assistance,1
Compliance with ethical guide lines,1
Financial Interest,1
Aknowledgement:,1
Human Subjects Approval Statement,1
"Acknowledgements. We are grateful to the Ms Claire Rischmiller, Ms Kim Clipsham, Ms Zoe Inman, and Ms Michelle Hagon-Powley for their nurse support with the case.",1
Grant support acknowledgement. This study was conducted in the absence of Grant support,1
Acknowledgements/Funding.,1
Acknowledgements and financial support.,1
Acknowledgmentsp,1
Collaborating authors,1
Ethical bodies,1
Canadian Critical Care Trials Group H1N1 Collaborative members,1
Ethics clearance,1
Availability of data and datasets,1
Authors contrubutions,1
Previous data presentation at conferences,1
"Ethical approval, consent to participate",1
Expert clinical participants,1
"Ethics, approval and consent",1
Acknowledgments of funding,1
Conflict of interest and source of funding,1
Disclosure by AstraZeneca,1
Research collaborators,1
Study management committees,1
Ethics approval and concern to participate,1
Ethics approval and consent to participate/publication,1
ACKNOWLEDGEMENT AND DISCLAIMER,1
SOS-KANTO 2012 study group,1
"ACKNOWLEDGMENTS, DISCLAIMER",1
Patient informed consent statement,1
Acknowoledgements,1
Participation in authorship,1
Declaration of interests and funding source,1
Acknowledgment/disclosures,1
Acknowlegments and disclosures,1
Software Download,1
Ethical Standards Statement,1
Compliance with ethical guidelines consent,1
Special Acknowledgement for Statistical Analysis,1
Cost Effectiveness Analysis Center,1
"Spirometry Reading Center, Yale University, New Haven, CT, USA",1
Acknowledgement of support,1
Role contributions,1
Aknowledge:,1
Acknowledgments: To Fundação de Amparo e Pesquisa of the state of Bahia for granting research scholarship to student Samara Souza dos Santos while this study was carried out.,1
SOS-KANTO 2012 steering council,1
SPROUT study investigators,1
CAPUCI 2 Study Group Investigators,1
SOS-KANTO 2012 Study Group,1
SOS-KANTO 2012 Steering Council,1
Get With The Guidelines®-Resuscitation investigators,1
International presentation,1
Members of the DECS Study Group (The Netherlands),1
ASAP ECMO Investigators,1
Collaborator group,1
Additional J-POP investigators,1
Centres participating in the study (all in Italy),1
Availability of data and dataset,1
Ethics approval and registration,1
Competing interests and sources of funding,1
Ethics issues,1
Other sources of funding and potential conflicts of interest,1
Reference,1
Conflict  of  Interests,1
Protection of Human Subjects,1
Acknownledgments,1
Availability of Tools Implementing the WSPR Algorithm,1
About this authors,1
Original submission,1
Co-authorship declaration,1
Declaration of Potential Conflicts of Interest,1
Agradecimientos:,1
Awards Received,1
